DT,NDVI,P,ET,LST
2016-10-31,0.5457,28.1761,49.5762,32.1806
2016-11-10,0.5584,7.3456,47.8516,35.9708
2016-11-20,0.5506,7.0902,49.8135,35.8952
2016-11-30,0.5434,31.5803,40.8501,29.8498
2016-12-10,0.5359,6.4309,44.8949,34.3412
2016-12-20,0.5187,4.6153,48.5354,37.2458
2016-12-31,0.4829,7.2643,56.1905,37.4376
2017-01-10,0.434,1.7858,56.2796,41.6864
2017-01-20,0.3878,1.5787,56.1043,43.3229
2017-01-31,0.3589,2.4464,61.9688,41.7975
2017-02-10,0.3437,3.7151,58.5044,42.6602
2017-02-20,0.336,6.5117,59.266999999999996,40.3226
2017-02-28,0.3264,2.9395,46.7953,41.0466
2017-03-10,0.3222,9.4117,66.3593,46.0325
2017-03-20,0.3334,8.0499,68.0477,46.9451
